,dtr,knn,nn,lregression,ridge,nn2,stacking,rforest
MSE,0.07540118759907309,0.07160192222592868,0.06625056638626181,0.09808575625481539,0.0980824311382325,0.10050030265796957,0.07000921346826625,0.06683069325570277
MAE,0.19721979160314057,0.20127144723999368,0.1852222217210219,0.26366257820667804,0.2636637624872999,0.27046357127335574,0.19412724981457752,0.1865797273872734
